teamcolor_id,stage,required_players,condition_text,icon_url
1000,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l10.png
1000,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l10.png
1000,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l10.png
1000,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l10.png
1001,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l9.png
1001,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l9.png
1001,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l9.png
1001,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l9.png
1002,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l18.png
1002,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l18.png
1002,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l18.png
1002,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l18.png
1003,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l5.png
1003,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l5.png
1003,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l5.png
1003,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l5.png
1004,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1.png
1004,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1.png
1004,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1.png
1004,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1.png
1005,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l11.png
1005,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l11.png
1005,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l11.png
1005,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l11.png
1006,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110.png
1006,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110.png
1006,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110.png
