teamcolor_id,stage,stat_code,stat_name,value,raw_effect
1000,1,overall,전체 능력치,1,전체 능력치 +1
1000,2,overall,전체 능력치,3,전체 능력치 +3
1000,3,overall,전체 능력치,3,전체 능력치 +3
1000,3,shortpassing,짧은 패스,1,짧은 패스 +1
1000,3,vision,시야,2,시야 +2
1000,4,overall,전체 능력치,4,전체 능력치 +4
1000,4,shortpassing,짧은 패스,3,짧은 패스 +3
1000,4,vision,시야,3,시야 +3
1001,1,overall,전체 능력치,1,전체 능력치 +1
1001,2,overall,전체 능력치,3,전체 능력치 +3
1001,3,overall,전체 능력치,3,전체 능력치 +3
1001,3,reactions,반응 속도,1,반응 속도 +1
1001,3,sprintspeed,속력,2,속력 +2
1001,4,overall,전체 능력치,4,전체 능력치 +4
1001,4,reactions,반응 속도,3,반응 속도 +3
1001,4,sprintspeed,속력,3,속력 +3
1002,1,overall,전체 능력치,1,전체 능력치 +1
1002,2,overall,전체 능력치,3,전체 능력치 +3
1002,3,overall,전체 능력치,3,전체 능력치 +3
1002,3,positioning,위치 선정,1,위치 선정 +1
1002,3,reactions,반응 속도,2,반응 속도 +2
1002,4,overall,전체 능력치,4,전체 능력치 +4
1002,4,positioning,위치 선정,3,위치 선정 +3
1002,4,reactions,반응 속도,3,반응 속도 +3
1003,1,overall,전체 능력치,1,전체 능력치 +1
1003,2,overall,전체 능력치,3,전체 능력치 +3
1003,3,ballcontrol,볼 컨트롤,2,볼 컨트롤 +2
1003,3,crossing,크로스,1,크로스 +1
1003,3,overall,전체 능력치,3,전체 능력치 +3
1003,4,ballcontrol,볼 컨트롤,3,볼 컨트롤 +3
1003,4,crossing,크로스,3,크로스 +3
1003,4,overall,전체 능력치,4,전체 능력치 +4
1004,1,overall,전체 능력치,1,전체 능력치 +1
1004,2,overall,전체 능력치,3,전체 능력치 +3
1004,3,agility,민첩성,1,민첩성 +1
1004,3,overall,전체 능력치,3,전체 능력치 +3
1004,3,shortpassing,짧은 패스,2,짧은 패스 +2
1004,4,agility,민첩성,3,민첩성 +3
1004,4,overall,전체 능력치,4,전체 능력치 +4
1004,4,shortpassing,짧은 패스,3,짧은 패스 +3
1005,1,overall,전체 능력치,1,전체 능력치 +1
1005,2,overall,전체 능력치,3,전체 능력치 +3
1005,3,acceleration,가속력,2,가속력 +2
1005,3,longshots,중거리 슛,1,중거리 슛 +1
1005,3,overall,전체 능력치,3,전체 능력치 +3
1005,4,acceleration,가속력,3,가속력 +3
1005,4,longshots,중거리 슛,3,중거리 슛 +3
1005,4,overall,전체 능력치,4,전체 능력치 +4
1006,1,overall,전체 능력치,1,전체 능력치 +1
1006,2,overall,전체 능력치,3,전체 능력치 +3
1006,3,acceleration,가속력,2,가속력 +2
1006,3,interceptions,가로채기,1,가로채기 +1
1006,3,overall,전체 능력치,3,전체 능력치 +3
1006,4,acceleration,가속력,3,가속력 +3
1006,4,interceptions,가로채기,3,가로채기 +3
1006,4,overall,전체 능력치,4,전체 능력치 +4
1007,1,overall,전체 능력치,1,전체 능력치 +1
1007,2,overall,전체 능력치,3,전체 능력치 +3
1007,3,interceptions,가로채기,1,가로채기 +1
1007,3,overall,전체 능력치,3,전체 능력치 +3
1007,3,shortpassing,짧은 패스,2,짧은 패스 +2
1007,4,interceptions,가로채기,3,가로채기 +3
1007,4,overall,전체 능력치,4,전체 능력치 +4
1007,4,shortpassing,짧은 패스,3,짧은 패스 +3
1008,1,overall,전체 능력치,1,전체 능력치 +1
1008,2,overall,전체 능력치,3,전체 능력치 +3
