spid,pid,name,season,position,position2,position3,ovr,ovr2,ovr3,pay,preferredfoot,weakfootabilitytypecode,height,weight,nation_id,thumb_path
100000041,41,이니에스타,ICONTM,cm,cam,lw,122,122,120,32,1,5,171,68,45,/playersAction/p100000041.png?rd=202607310550
100000051,51,앨런 시어러,ICONTM,st,,,121,0,0,32,1,4,182,78,14,/playersAction/p100000051.png?rd=202607310550
100000240,240,로이 킨,ICONTM,cdm,cm,,119,118,0,30,1,3,180,76,25,/playersAction/p100000240.png?rd=202607310550
100000246,246,폴 스콜스,ICONTM,cm,cam,,120,120,0,31,1,4,171,71,14,/playersAction/p100000246.png?rd=202607310550
100000250,250,데이비드 베컴,ICONTM,rm,,,121,0,0,32,1,4,182,74,14,/playersAction/p100000250.png?rd=202607310550
100000388,388,솔 캠벨,ICONTM,cb,,,117,0,0,31,1,4,188,89,14,/playersAction/p100000388.png?rd=202607310550
100000488,488,올리버 칸,ICONTM,gk,,,121,0,0,28,1,2,188,90,21,/playersAction/p100000488.png?rd=202607310550
100000570,570,제이-제이 오코차,ICONTM,cam,,,116,0,0,29,1,4,173,70,133,/playersAction/p100000570.png?rd=202607310550
100001025,1025,후이 코스타,ICONTM,cam,,,118,0,0,30,1,4,180,74,38,/playersAction/p100001025.png?rd=202607310550
100001040,1040,호베르투 카를루스,ICONTM,lb,,,121,0,0,32,2,3,168,70,54,/playersAction/p100001040.png?rd=202607310550
100001041,1041,하비에르 사네티,ICONTM,lb,cdm,,120,120,0,31,1,4,178,74,52,/playersAction/p100001041.png?rd=202607310550
100001075,1075,델피에로,ICONTM,cf,cam,,120,120,0,32,1,5,174,74,27,/playersAction/p100001075.png?rd=202607310550
100001088,1088,알레산드로 네스타,ICONTM,cb,,,121,0,0,32,1,3,187,79,27,/playersAction/p100001088.png?rd=202607310550
100001109,1109,파올로 말디니,ICONTM,lb,cb,,122,122,0,32,1,5,186,77,27,/playersAction/p100001109.png?rd=202607310550
100001114,1114,로베르토 바조,ICONTM,cf,cam,,122,122,0,33,1,5,174,73,27,/playersAction/p100001114.png?rd=202607310550
